25, 25, 0
35, 25, 10
45, 25, 20
55, 25, 30
65, 25, 40
75, 25, 50
85, 25, 60
95, 25, 70
105, 25, 80
115, 25, 90
125, 25, 100
135, 25, 110
145, 25, 120
155, 25, 130
165, 25, 140
175, 25, 150
185, 25, 160
195, 25, 170
205, 25, 180
215, 25, 190
225, 25, 200
235, 25, 210
245, 25, 220
255, 25, 230
265, 25, 240
275, 25, 250
285, 25, 260
295, 25, 270
305, 25, 280
315, 25, 290
325, 25, 300
335, 25, 310
345, 25, 320
355, 25, 330
365, 25, 340
375, 25, 350
385, 25, 360
395, 25, 370
405, 25, 380
415, 25, 390
425, 25, 400
435, 25, 410
445, 25, 420
455, 25, 430
465, 25, 440
475, 25, 450
485, 25, 460
495, 25, 470
505, 25, 480
515, 25, 490
525, 25, 500
535, 25, 510
545, 25, 520
555, 25, 530
565, 25, 540
575, 25, 550
585, 25, 560
595, 25, 570
605, 25, 580
615, 25, 590
625, 25, 600
635, 25, 610
645, 25, 620
655, 25, 630
665, 25, 640
675, 25, 650
685, 25, 660
695, 25, 670
705, 25, 680
715, 25, 690
725, 25, 700
735, 25, 710
745, 25, 720
755, 25, 730
765, 25, 740
775, 25, 750
775, 35, 760
775, 45, 770
775, 55, 780
765, 55, 790
755, 55, 800
745, 55, 810
735, 55, 820
725, 55, 830
715, 55, 840
705, 55, 850
695, 55, 860
685, 55, 870
675, 55, 880
665, 55, 890
655, 55, 900
645, 55, 910
635, 55, 920
625, 55, 930
615, 55, 940
605, 55, 950
595, 55, 960
595, 65, 970
595, 75, 980
595, 85, 990
595, 95, 1000
595, 105, 1010
595, 115, 1020
595, 125, 1030
595, 135, 1040
595, 145, 1050
595, 155, 1060
595, 165, 1070
595, 175, 1080
595, 185, 1090
595, 195, 1100
595, 205, 1110
595, 215, 1120
595, 225, 1130
595, 235, 1140
595, 245, 1150
595, 255, 1160
595, 265, 1170
595, 275, 1180
595, 285, 1190
595, 295, 1200
595, 305, 1210
595, 315, 1220
595, 325, 1230
585, 325, 1240
575, 325, 1250
565, 325, 1260
555, 325, 1270
545, 325, 1280
535, 325, 1290
525, 325, 1300
515, 325, 1310
505, 325, 1320
495, 325, 1330
485, 325, 1340
475, 325, 1350
475, 315, 1360
475, 305, 1370
475, 295, 1380
475, 285, 1390
475, 275, 1400
475, 265, 1410
475, 255, 1420
475, 245, 1430
475, 235, 1440
475, 225, 1450
475, 215, 1460
475, 205, 1470
475, 195, 1480
475, 185, 1490
475, 175, 1500
475, 165, 1510
475, 155, 1520
475, 145, 1530
475, 135, 1540
475, 125, 1550
475, 115, 1560
475, 105, 1570
475, 95, 1580
475, 85, 1590
475, 75, 1600
475, 65, 1610
475, 55, 1620
475, 45, 1630
475, 35, 1640
475, 25, 1650
465, 25, 1660
455, 25, 1670
445, 25, 1680
435, 25, 1690
425, 25, 1700
415, 25, 1710
405, 25, 1720
395, 25, 1730
385, 25, 1740
375, 25, 1750
365, 25, 1760
355, 25, 1770
345, 25, 1780
335, 25, 1790
325, 25, 1800
315, 25, 1810
305, 25, 1820
295, 25, 1830
285, 25, 1840
275, 25, 1850
265, 25, 1860
255, 25, 1870
245, 25, 1880
235, 25, 1890
225, 25, 1900
215, 25, 1910
205, 25, 1920
195, 25, 1930
185, 25, 1940
175, 25, 1950
165, 25, 1960
155, 25, 1970
145, 25, 1980
135, 25, 1990
125, 25, 2000
115, 25, 2010
105, 25, 2020
95, 25, 2030
85, 25, 2040
75, 25, 2050
65, 25, 2060
55, 25, 2070
45, 25, 2080
